food_name,category,serving_size_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg
kidney_beans,legume,100,127,8.7,23,0.5,6.4,0.3,1
quinoa,grain,100,120,4.4,21,1.9,2.8,0.9,7
rice_cooked,grain,100,130,2.7,28,0.3,0.4,0.1,1
pasta_cooked,grain,100,131,5.0,25,1.1,1.5,0.8,6
bread_whole_wheat,grain,100,247,13.0,41,4.2,6.0,6.0,430
tortilla,grain,100,313,8.5,54,8.0,3.3,4.0,882
oat_bread,grain,100,252,10.0,46,3.5,6.0,7.0,470
rice_cake,snack,100,387,7.9,82,1.2,3.6,0.9,523
instant_noodles,grain,100,471,9.0,60,19.0,2.4,8.0,1821
ramen_bowl,grain,100,436,10.0,62,15.0,3.2,7.0,1820
pho_soup,meal,100,97,6.0,12,2.5,0.6,1.5,450
sushi_roll,meal,100,175,9.0,28,3.0,1.0,6.0,370
pizza_slice,meal,100,266,11.0,33,10.0,2.3,3.8,640
burger,meal,100,295,15.0,30,13.0,1.2,5.2,540
hot_dog,meal,100,290,11.0,24,19.0,1.0,3.8,1040
sandwich,meal,100,229,10.0,24,10.0,2.4,4.2,560
taco,meal,100,226,9.0,23,12.0,3.0,2.6,625
burrito,meal,100,230,8.0,30,8.0,3.5,2.8,620
quesadilla,meal,100,284,12.0,25,15.0,2.0,3.0,620
nachos,meal,100,343,8.0,38,18.0,4.5,2.2,840
falafel,meal,100,333,13.0,31,17.0,8.0,4.0,450
hummus,meal,100,166,8.0,14,10.0,6.0,0.3,240
kebab,meal,100,254,14.0,9,18.0,1.5,2.5,420
shawarma,meal,100,269,17.0,14,16.0,1.5,2.0,520
paella,meal,100,158,9.0,18,5.0,1.0,2.0,540
risotto,meal,100,130,3.0,22,3.0,1.0,1.0,410
pasta_alfredo,meal,100,207,7.0,20,11.0,1.0,2.0,521
mac_and_cheese,meal,100,164,6.0,19,7.0,1.0,3.0,540
french_fries,side,100,312,3.4,41,15.0,3.8,0.3,210
mashed_potatoes,side,100,113,2.3,18,4.0,1.6,1.5,331
onion_rings,side,100,411,5.0,41,24.0,2.1,5.8,620
coleslaw,side,100,152,1.2,14,10.0,2.0,12.0,198
caesar_salad,meal,100,190,4.0,8,15.0,2.0,2.0,520
garden_salad,meal,100,65,2.0,8,3.0,3.0,3.0,150
soup_chicken,meal,100,71,5.0,6,3.0,0.5,1.5,343
soup_tomato,meal,100,32,1.0,7,0.2,1.0,4.0,330
soup_miso,meal,100,40,3.0,5,1.0,0.9,1.5,430
soup_lentil,meal,100,101,5.0,14,3.0,4.0,1.5,370
curry_chicken,meal,100,170,11.0,8,10.0,2.0,4.0,420
curry_vegetable,meal,100,140,4.0,16,7.0,4.0,6.0,370
stew_beef,meal,100,158,10.0,12,7.0,1.5,2.0,450
stir_fry_vegetable,meal,100,90,3.0,12,3.0,3.0,5.0,320
smoothie,drink,100,60,1.5,14,0.5,2.0,12.0,10
protein_shake,drink,100,120,24.0,5,1.5,1.0,3.0,170
coffee_black,drink,100,1,0.1,0.0,0.0,0.0,0.0,5
coffee_latte,drink,100,54,3.6,5,2.0,0.0,5.0,40
tea,drink,100,1,0.1,0.2,0.0,0.0,0.0,5
soda,drink,100,38,0.0,10,0.0,0.0,10.0,7
juice_orange,drink,100,45,0.7,10,0.2,0.2,8.4,2
energy_drink,drink,100,45,0.0,11,0.0,0.0,11.0,80
sports_drink,drink,100,26,0.0,6,0.0,0.0,6.0,55
beer,drink,100,43,0.5,3.6,0.0,0.0,0.0,4
wine_red,drink,100,85,0.1,2.6,0.0,0.0,0.6,4
champagne,drink,100,76,0.3,1.4,0.0,0.0,1.2,7
